Keyword,Description
FLUXOPTS,Options for Flux Boundary models.
FMTHMD,Indicates that the HMD file is to be formatted.
FMTIN,Indicates that the input files are formatted.
FMTOUT,Indicates that the output files are to be formatted.
FULLIMP,Use the Fully Implicit Solution option.
GAS,The run contains gas.
GDIMS,Specify the dimensions for the instantaneous gradient option.
GRAVDR,Use gravity drainage in dual porosity runs.
GRAVDRB,Use the Vertically Discretized Gravity Drainage Model in dual porosity runs.
GRAVDRM,Use the Alternative Gravity Drainage Model in dual porosity runs.
GRIDOPTS,Set options to process grid data.
HMDIMS,Set dimensions for the Gradient option.
IMPES,Use the IMPES Solution option.
INSPEC,Request an Initial Index file.
LAB,Use Lab unit convention.
LGRCOPY,Copy global values to local cells before operations on cells within an LGR. This will apply to all LGRs in the dataset.
MEMORY,Allocate the required memory at start of run.
METRIC,Use metric unit convention.
MISCIBLE,"Enable the Miscible Gas Flood option (ECLIPSE 100)
Allow properties to depend on surface tension (ECLIPSE 300)."
MONITOR,Request output for run-time monitoring.
MSGFILE,Message file output options.
MULTIN,Indicates that input files are multiple.
MULTOUT,Indicates that output files are multiple.
MULTOUTS,Indicates that Summary files are multiple.
MULTREAL,Activates Multi-Realization licensing.
NETWORK,Set dimensions for Extended Network Model.
NINEPOINT,Select the Nine-point option.
NMATRIX,Use the discretized Matrix Dual-porosity Model.
NOHYST,Disable Hysteresis option.
NOINSPEC,Do not write an Initial Index file.
NOMONITO,Disable the output for run-time monitoring.
NONNC,Disallow non-neighbor connections.
NORSSPEC,Do not write a Restart Index file.
NOSIM,"Turn off simulation, but continue data checking."
NSTACK,Set linear solver stack size.
NUMRES,The grid contains multiple reservoirs.
NUPCOL,Number of timestep iterations in which well targets are updated.
OIL,The run contains oil.
PARALLEL,Select a parallel run.
PETOPTS,Sets options for simulator runs fired from Petrel.
RADIAL,Specify radial geometry.
REGDIMS,Set dimensions for regions data.
ROCKCOMP,Enable the rock compaction option.
RSSPEC,Request a Restart Index file.
SATOPTS,Set options for directional and hysteretic relative permeabilities.
SOLID,Indicates a solid phase in the run.
START,Specify the start date.
TABDIMS,Set table dimensions.
TITLE,Specify the run title.
UDADIMS,Dimensions for the user defined arguments facility.
UDQDIMS,Dimensions for the user defined quantity facility.
UDQPARAM,Parameters for the user defined quantity facility.
UNCODHMD,Enables unencoded sensitivities from the Gradient option.
UNIFIN,Indicates that input files are unified.
UNIFOUT,Indicates that output files are unified.
UNIFOUTS,Indicates that Summary files are unified.
VFEPDIMS,Set dimensions for injection well VFP tables.
VFEPPDIMS,Set dimensions for production well VFP tables.
VISAGE,Activate the VISAGE geomechanics workflow.
WARP,Enable WARP linear solver.
WATER,The run contains water.
WCOMPRES,"Reduce the memory requirements of a simulation that contains a large number of wells, some of which have many connections, but most have relatively few connections."
WELLDIMS,Set dimensions for well data.
WSEGDIMS,Set dimensions for multisegment wells.
WSEGSOLV,Sets parameters for the multisegment well iterative linear solver.
API,Enable the API Tracking option.
ALKALINE,Enable the Alkaline model.
AUTOREF,Set options for auto refinement.
BIGMODEL,Allows large models to run by changing the internal memory accounting.
DISGAS,Run contains dissolved gas in live oil.
DISPDIMS,Dimensions dispersion tables.
ECLMC,Enable the Multi-Component option.
EQLDIMS,Set dimensions of equilibration tables.
EQLOPTS,Set options for equilibration.
FAULTDIM,Set dimensions for fault data.
FOAM,Enable the Foam option.
FRICTION,Enable the Wellbore Friction option.
GASFIELD,Enable special options in the Gas Field Operations Model.
GIMODEL,Enable the GI Pseudo-compositional option.
LGR,Set options for local grid refinement and coarsening.
LICENSES,Reserve ECLIPSE 100 option licenses.
LOWSALT,Enable the Low-Salinity option.
NNEWWTF,Enable the non-Newtonian modeling for polymer.
NOCASC,Use the linear solver tracer algorithm to solve single phase tracers.
NRSOUT,Sets the maximum number of quantities that can be output to a restart file.
NRSOPTIONS,Activate special options within particular facilities in ECLIPSE 100.
PARTTRAC,Activate partitioned tracers for Environmental Tracers or the Surfactant option.
PATHS,Set pathname aliases.
PEDIMS,Used to set dimensions for a Petro-elastic Model.
PIMTDIMS,Set PI scaling table dimensions.
POLYMER,Enable the Polymer Flood Model.
PSTEADY,Automatically runs the simulator to a steady state.
RIVRDIMS,Set river dimensions.
RPTHMD,Specify controls on the output to the HMD file.
RPTRUNSP,Specify controls on the output of RUNSPEC data.
SAMG,Enable algebraic multigrid linear solver. Note that in ECLIPSE 100 its use is restricted to single phase tracers and requires a Water Services license.
SAVE,Request the output of a Save file for fast restarts.
SCDPDIMS,Set dimensions for scale deposition tables.
AIM,Use the AIM Solution option.
AJGRADNT,Use the adjoint gradient screening option.
AQUDIMS,Dimensions for aquifers.
CBMOPTS,Specify the type of adsorption model to be used with the Coal Bed Methane option.
CO2SOL,Allow CO? to dissolve in the aqueous phase.
CO2STORE,Activates the CO? storage option.
COMPS,Requests compositional mode.
COMPSOL,"For SOLID, BLACKOIL runs, this keyword must be used to set the number of components."
COMPW,Requests water component model.
DEADOIL,Use the Dead Oil option in thermal simulations.
DOMAIN,Set non-default domain size for phase property evaluation.
DPCDT,Set maximum rate of change of capillary pressure.
E100NOSI,Switch to NOSIM mode if an incompatible ECLIPSE 100 keyword is read.
EOS,Specify which equation of state is to be used.
EOSS,Specify the surface equation of state.
FASTTRAC,Enables shortcuts in tracer calculations.
FMTSAVE,Indicates that the Save files are formatted.
FORMOPTS,Formulation options.
FREEZEPC,Freeze all capillary pressures in the run.
FWELLS,Enable the Fractured Well Completion option.
GASSOL,Use the GASSOL option.
GASWAT,Use the water-gas model.
GEOMECH,Selects the geomechanics option.
GEODIMS,"Sets the number of geomechanics regions in the simulation, sets table dimensions, in terms of the number of rows and columns, for the PERMSTAB and BIOTCTAB keywords."
GPTDIMS,Set gas plant table dimensions.
H2SOL,Allow H2S to dissolve in the aqueous phase.
HEATDIMS,Set heater keyword dimensions in thermal simulations.
HWELLS,Enable the Horizontal Well Completion option.
HYKR,Enable the Relative Permeability Hysteresis option.
HYPC,Enable the Capillary Pressure Hysteresis option.
HYST,Enable the Hysteresis option.
HYSTJ,Enable the Hysteresis option using the Jargon method.
HYSTK,Enable the Hysteresis option using the Killough method.
IMPSAT,Use the IMPSAT Solution option.
ISGAS,The run is gas condensate.
JALS,Activate the JALS linear solver.
KVALUES,Use K-values in the simulation.
LAGTRAC,Activates the Lagrangian Tracer Solver option.
LIVEOIL,Use the live oil option in thermal simulations.
